FIRST NAME,LAST NAME,SCHOOL,CLASS,HEIGHT,WEIGHT,HAND,ARM,WING,10 SPLT,40 TIME,BENCH,VERT,BROAD,SHUTTLE,CONE
Jack,Coan,Notre Dame,Sr,6032,218,948,3118,7478,,4.9,,33,907,4.39,6.95
Matt,Corral,Mississippi,Jr,6015,212,958,3068,7448,,,,,,,
Dustin,Crum,Kent State,Sr,6010,210,938,3168,7738,,4.75,,,,4.36,
Kaleb,Eleby,Western Michigan,Jr,6006,208,928,3058,7568,,,,25.5,903,,7.57
Sam,Howell,North Carolina,Jr,6005,218,918,3068,7548,,,,,,,
Cole,Kelley,SE Louisiana,Sr,6073,249,978,3368,8128,,,,,,,
D'Eriq,King,Miami (FL),Sr,5086,196,928,2878,7118,,,,,,,
EJ,Perry,Brown,Sr,6015,211,900,3200,7548,,4.6,,34.5,1003,4.18,6.85
Kenny,Pickett,Pittsburgh,Sr,6032,217,848,3078,7368,,4.73,,33.5,1001,4.29,
Brock,Purdy,Iowa State,Sr,6032,212,928,2900,7018,,4.84,,27,,4.45,7.21
Desmond,Ridder,Cincinnati,Jr,6033,211,1000,3268,7900,,4.52,,36,1007,4.29,7.15
Carson,Strong,Nevada,Jr,6033,226,918,3200,7600,,,,,,,
Skylar,Thompson,Kansas State,Sr,6033,217,858,3100,7458,,4.91,,31,904,4.28,7
Malik,Willis,Liberty,Sr,6017,219,948,3168,7738,,,,,,,
Bailey,Zappe,Western Kentucky,Sr,6004,215,968,3138,7468,,4.88,,30,901,4.4,7.19
